City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Vila Franca Do Campo,PT,60.3,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
133,Muros,ES,53.98,light rain,42.7762,-9.0603,Apartment Av. Castelao
135,Hokitika,NZ,66.99,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
136,Winnemucca,US,51.85,clear sky,40.973,-117.7357,Winners Inn Casino
139,Camacha,PT,59.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
142,Tomball,US,53.56,clear sky,30.0972,-95.6161,La Quinta Inn & Suites by Wyndham Tomball
143,Kaputa,ZM,66.36,broken clouds,-8.4689,29.6619,Chelelwa Charlets
148,North Bend,US,60.94,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
151,San Patricio,US,51.35,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
152,Hwange,ZW,67.03,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
155,Guanhaes,BR,59.86,clear sky,-18.775,-42.9325,CARAVELLE HOTEL Guanhães - MG
160,Phalombe,MW,64.69,overcast clouds,-15.8064,35.6507,RIVONIA
161,Hasaki,JP,59.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
163,Moussoro,TD,69.17,few clouds,13.6408,16.4901,Hôtel Salama
168,Curvelo,BR,67.24,clear sky,-18.7564,-44.4308,Pontal Plaza Hotel
170,Tiznit,MA,60.39,clear sky,29.5833,-9.5,
174,Portland,US,56.7,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
180,Tecolutla,MX,64.6,overcast clouds,20.4833,-97.0167,Hotel Plaza Marsol
186,Agadir,MA,57.65,clear sky,30.4202,-9.5982,Iberostar Founty Beach
200,Oyem,GA,66.99,broken clouds,1.5995,11.5793,Commissariat de police
206,Necochea,AR,53.42,clear sky,-38.5473,-58.7368,dyd -mar Hotel
207,Ribeira Grande,PT,62.19,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
208,Saurimo,AO,65.89,moderate rain,-9.6608,20.3916,Hotel Kawissa Saurimo
216,Tomatlan,MX,68.0,clear sky,19.9333,-105.25,El Salvial
218,Tamiahua,MX,61.29,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
225,San Cristobal,VE,66.06,overcast clouds,7.7669,-72.225,Pirineos
226,Felipe Carrillo Puerto,MX,69.17,clear sky,19.5833,-88.05,Hotel La Ceiba
231,Saint-Louis,SN,62.31,clear sky,16.3333,-15.0,
238,Awbari,LY,65.23,overcast clouds,26.5921,12.7805,فندق أوباري
240,Katsuura,JP,58.3,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
246,Maradi,NE,69.42,clear sky,13.5,7.1017,Hôtel du sahel
247,Kaitangata,NZ,58.75,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
248,Arlit,NE,69.62,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
249,Lake City,US,51.84,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
252,Najran,SA,59.9,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
254,Sandila,IN,60.71,clear sky,27.0833,80.5167,"Celebration Lawn, Phase 1, Sandila"
