City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Evensk,RU,61.95,159.2333,10.63,86,100,5.03,overcast clouds
141,Husavik,IS,66.0449,-17.3389,32.43,99,100,17.36,snow
142,Tomball,US,30.0972,-95.6161,53.56,65,0,0.0,clear sky
143,Kaputa,ZM,-8.4689,29.6619,66.36,88,71,3.13,broken clouds
144,Bargi,IN,22.9833,79.8667,71.17,36,8,6.2,clear sky
145,Laa,SL,8.0797,-10.7732,70.63,99,97,1.43,overcast clouds
146,Mandalgovi,MN,45.7625,106.2708,23.81,27,4,19.73,clear sky
147,Port Blair,IN,11.6667,92.75,82.67,73,99,14.12,overcast clouds
148,North Bend,US,43.4065,-124.2243,60.94,94,100,12.66,overcast clouds
149,Zimovniki,RU,47.1483,42.4633,34.07,81,97,6.15,overcast clouds
150,East London,ZA,-33.0153,27.9116,72.54,87,92,9.13,overcast clouds
151,San Patricio,US,28.017,-97.5169,51.35,54,79,6.44,broken clouds
152,Hwange,ZW,-18.3693,26.5019,67.03,86,67,3.8,broken clouds
153,Cerchezu,RO,43.8167,28.1,31.6,98,100,15.77,light snow
154,Noyabrsk,RU,63.1994,75.4507,23.97,93,100,21.05,light snow
155,Guanhaes,BR,-18.775,-42.9325,59.86,94,0,1.66,clear sky
156,Balta,UA,47.9355,29.6198,29.98,86,100,14.47,overcast clouds
157,Nurlat,RU,54.4277,50.8051,29.57,96,100,5.66,overcast clouds
158,Ayan,RU,56.45,138.1667,6.4,52,100,8.77,overcast clouds
159,Balkanabat,TM,39.5108,54.3671,49.33,59,100,3.76,overcast clouds
160,Phalombe,MW,-15.8064,35.6507,64.69,96,100,1.07,overcast clouds
161,Hasaki,JP,35.7333,140.8333,59.4,46,100,12.03,overcast clouds
162,Lashio,MM,22.9333,97.75,74.75,30,3,1.88,clear sky
163,Moussoro,TD,13.6408,16.4901,69.17,10,14,11.63,few clouds
164,Chara,RU,56.9064,118.2631,6.04,76,99,2.42,overcast clouds
165,Luderitz,NA,-26.6481,15.1594,64.58,80,0,8.43,clear sky
166,Havelock,US,34.8791,-76.9013,45.5,73,32,9.91,scattered clouds
167,Komsomolskiy,UZ,40.4272,71.7189,49.17,61,96,1.19,overcast clouds
168,Curvelo,BR,-18.7564,-44.4308,67.24,70,2,4.27,clear sky
169,Yulara,AU,-25.2406,130.9889,99.7,16,6,10.45,clear sky
170,Tiznit,MA,29.5833,-9.5,60.39,51,0,2.33,clear sky
171,Margate,GB,51.3813,1.3862,46.62,94,100,9.8,light rain
172,Meulaboh,ID,4.1363,96.1285,75.63,91,100,7.56,overcast clouds
173,Morehead,US,37.2711,-87.1764,42.64,74,100,6.49,overcast clouds
174,Portland,US,45.5234,-122.6762,56.7,85,100,11.92,overcast clouds
175,Kuloy,RU,61.0305,42.4925,15.3,97,56,4.68,broken clouds
176,Saint-Joseph,RE,-21.3667,55.6167,75.58,77,5,3.8,clear sky
177,Neepawa,CA,50.2289,-99.4664,6.3,98,100,3.47,overcast clouds
178,Tilichiki,RU,60.4667,166.1,11.14,92,63,6.71,broken clouds
179,Brodnica,PL,53.2597,19.3965,24.19,52,0,0.85,clear sky
180,Tecolutla,MX,20.4833,-97.0167,64.6,79,100,4.38,overcast clouds
